Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.207739581,0.331029289,1.096536009,0.498886674,,,,0.018547745,2.833490477,0.292134367,0.131848278,,,,,,,0.097091478,,,,0.173309676,0.203950088,1.29830121,2.01302958,1.850083486,2.588728835,4.37949979,12.85804754,17.12434453,6.434776204,
Afghanistan,AFG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,0.072123099,0.074926261,,,,,,,0.06545706,,0.000120403,0.001209598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137976802,0.275244542,0.305786388,,,,1.065252728,1.124522086,,1.240228546,
Angola,AGO,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.879103511,,,,,,,12.15077291,12.12204618,10.12973155,7.764274271,6.705172309,4.146125105,,,,0.074690707,0.05795758,0.103770391,0.223165655,,,,,,,,,6.2225979,4.85604896,,,,,,,,,,,,,,,,2.675426153,,2.00203147,2.037629249,1.82030992,1.566715698,1.707311472,2.183667363,3.316555333,,,,
Albania,ALB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63388248,9.32593913,12.59752326,3.915375466,3.707056525,2.912995903,3.43255984,4.095187299,5.522306591,24.14078258,37.86434557,13.55952866,32.63314067,9.55774647,12.82934907,11.90342563,10.91270169,9.783992735,4.582160143,7.545842737,8.808997269,4.83402753,2.028357831,
Andorra,AND,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.284893838,2.204149809,1.661813148,1.514734044,2.134949456,2.252165724,2.32009613,2.15483825,2.382341006,2.593152241,2.195859418,1.833031495,2.869281638,3.640900327,2.899213567,4.415509062,3.560689529,3.705642253,3.283258591,4.041511455,4.663833108,2.596237444,2.816914794,3.280055057,
Arab World,ARB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,3.130688417,3.007911359,,,2.063061306,2.604597795,,,,,,,,,,15.676296,,23.13483141,20.12827727,16.78728256,,,,,1.35650363,1.950095364,1.821352671,2.028133001,1.457779434,,1.360242624,2.05232313,1.179829404,1.318842157,1.643929223,1.423005866,1.543989242,1.68864935,2.191733684,1.93330082,2.140469523,,2.569535161,2.887716682,4.362707632,
United Arab Emirates,ARE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,0.030986475,0.024904652,,,,42.45171039,,,,,,47.77228645,,78.09277651,67.73397819,54.88638324,,,,,,4.013947838,3.171349069,3.710067467,,,,0.967613927,,1.248818958,0.941097685,,,,1.823383132,2.159102707,2.879716317,,3.267349894,4.635251375,10.73828096,
Argentina,ARG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.813335466,0.833818569,0.500304019,0.268986497,0.286643987,0.468486611,0.645334988,0.515775152,0.471868854,0.529028632,0.463152579,0.376045075,0.475331241,0.298571509,0.301816725,0.266728514,0.568331489,0.962451116,2.172933022,1.754551677,1.586687286,1.305303137,1.306328821,1.724138065,1.825666685,2.41126818,2.424473335,2.58026208,2.446849693,1.699587632,1.168250282,1.160581689,1.315317541,1.632343407,1.167015952,1.546081269,2.730972872,3.290626478,2.964491409,3.065503088,3.885278694,3.020212933,3.93881327,3.232477809,4.275509913,3.856929142,3.235335215,3.829291253,4.423148897,4.052048857,4.17906392,3.258333094,3.354282345,2.864151532,3.334112195,3.320066801,0.491724221,
Armenia,ARM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.43847459,,13.49503899,26.99069915,29.5760612,15.71746947,20.48607446,23.54733602,11.91156385,24.70589967,31.62122402,28.63984451,46.54002685,52.48003135,51.00885836,42.81518619,39.62414779,37.57315741,44.43595636,37.97372685,42.52096272,36.8992644,
American Samoa,ASM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,0,0,0.0007436,,0.005029049,0.002987911,,,0,,,,,,,,,,,,,,,,,,8.989547141,6.464334325,,,,,1.57477541,,0.547547452,,6.144380971,1.776170536,1.980299139,2.702330102,30.99082707,17.53170774,15.62045158,7.506100853,7.272065805,0.224811328,
Australia,AUS,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,6.052374499,7.704116144,9.540160365,10.22802324,11.4818313,15.58468365,17.85810929,22.57426792,21.62366883,18.99816927,17.33476904,20.50403137,22.43470624,19.73121624,20.24086385,15.41278157,15.22557184,17.45759662,17.4877109,19.35977616,20.18078033,18.73825857,18.13093287,18.17422738,17.78976663,20.71888817,21.22592902,20.81028285,20.09794723,18.78038605,17.45916032,15.46958101,18.07959522,16.51667502,16.37637412,18.17323241,18.50156879,16.64584299,16.51914819,15.93326995,16.14413003,17.2140292,20.58722822,25.10835466,27.44638297,26.72056731,27.42658742,33.87386404,36.77487446,34.26722111,38.19717365,36.76206618,31.42755503,31.7186885,30.77124261,28.33470606,
