Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.04837857,80.97104201,79.58303248,79.47848201,80.86036429,67.63779715,69.68068083,69.99171223,68.69159757,67.56161945,67.37396932,66.92900922,65.42108524,65.88933659,69.57026604,,,,,,,,,,
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,52.76171923,52.65543115,,
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298638,40.34746427,35.52672583,37.15684684,34.61187835,34.3382016,48.99067367,41.88702366,39.07583134,39.60494609,42.78491612,46.81392753,48.65988909,46.98099433,46.76262434,,
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,22.17920727,25.48574979,25.38265102,23.41393599,23.72495852,22.89593032,22.5942435,21.76510194,23.00929683,23.73351819,16.47109425,18.65646455,27.23650804,23.2673756,26.02063536,21.97757712,39.77290526,42.31565732,43.99425218,46.8340281,44.30280277,44.94278371,43.77631096,41.91149842,42.5803439,43.55456276,43.52340819,44.6397015,44.69923178,45.31735954,44.02548511,44.25637079,44.95461997,44.60699173,45.78238235,46.28446699,46.69716852,47.96590689,47.90726404,
Andorra,AND,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.43948668,75.80583453,75.32213661,75.5985319,75.43034538,75.19614359,75.57402995,75.58504838,76.25757543,77.5129514,78.06871781,78.03143501,78.49591152,79.28138237,79.5371122,80.00923033,79.2041029,79.28558607,,
Arab World,ARB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89449712,45.84851056,42.43530373,44.43136011,45.82781936,44.8349699,43.94010628,44.25917635,47.9768654,44.93388154,41.00825386,42.43317725,42.93415496,42.0229879,41.97280813,39.74456421,39.52747484,40.87564636,38.66325059,45.25262357,43.81925893,39.42454541,40.5643408,42.58328905,44.40854992,52.48511737,54.10459262,51.7775805,48.74963514,
United Arab Emirates,ARE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,25.4643047,27.64018907,31.53313694,31.31213264,28.09722444,26.84579121,31.08838617,36.20758156,37.86522074,36.34681418,37.82202662,46.66110251,44.1756695,45.78802715,43.730045,40.03922095,51.9239305,43.3233557,47.03917728,51.9091999,52.66775777,51.84056576,52.56756663,57.79557705,55.64609223,49.22033828,48.08545855,50.25092983,48.95130315,46.65629001,42.96097184,41.00264428,44.18310024,41.15471609,46.91815711,46.68707439,41.27696202,41.89731449,44.33616096,46.58243539,55.34998176,57.77530295,55.64012646,52.47180936,
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,38.68135829,40.11709274,42.63620116,43.24265853,43.42715421,48.0836525,43.17878672,43.43347582,44.69502835,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,56.96779489,55.63111435,
Armenia,ARM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.69893241,45.74975686,47.41304375,48.21266939,49.91050943,50.76525836,52.62017198,
American Samoa,ASM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
